ישוב/עיר,16-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,דיווח חלקי
קלנסווה,15,190,235,240,282,339,168,47,< 15,< 15
קציר,< 15,34,26,54,110,133,58,18,< 15,< 15
קצר א-סר,,< 15,,< 15,,< 15,< 15,< 15,,
קצרין,< 15,59,120,217,366,522,343,140,19,< 15
קרית אונו,36,271,493,1286,1389,2134,2169,1007,247,< 15
קרית ארבע,< 15,67,73,60,66,171,80,37,< 15,
קרית אתא,45,374,683,1185,1674,3457,2938,1095,227,< 15
קרית ביאליק,23,192,480,903,1131,2771,2957,1210,270,< 15
קרית גת,62,349,690,756,1082,2530,1567,699,140,
קרית טבעון,26,154,200,417,740,1392,1309,570,214,< 15
קרית ים,34,179,344,627,954,2572,2369,1129,275,< 15
קרית יערים,< 15,56,80,62,59,108,60,17,< 15,
קרית מוצקין,26,237,604,1041,1360,3046,3188,1458,395,< 15
קרית מלאכי,< 15,84,179,171,307,783,522,183,30,
קרית עקרון,< 15,52,81,104,249,536,359,145,32,< 15
קרית שמונה,60,266,377,787,1245,1942,1021,476,83,< 15
קרני שומרון,< 15,53,64,69,89,312,120,34,< 15,
ראמה,< 15,97,132,123,162,249,189,91,< 15,
ראש העין,36,380,736,992,1897,3262,1464,629,111,< 15
ראש פינה,< 15,28,56,127,156,230,233,58,< 15,
ראשון לציון,147,1217,1992,3381,5914,14433,12885,4936,1150,< 15
רבבה,< 15,19,16,35,29,< 15,< 15,< 15,,< 15
רהט,93,591,644,767,716,532,282,71,< 15,
רומת הייב,< 15,28,28,< 15,20,21,< 15,< 15,,
רחובות,92,674,1468,2417,2774,6234,6555,2679,654,53
ריינה,17,119,110,143,178,270,119,47,< 15,
רכסים,15,83,124,118,110,260,168,61,< 15,< 15
רמלה,30,301,615,861,1500,2971,1942,913,167,< 15
רמת גן,107,931,2074,2910,4533,8386,7793,4532,1561,< 15
רמת השרון,56,263,459,1268,1713,3033,3410,1771,466,< 15
רמת ישי,< 15,60,134,263,384,713,482,91,18,
רעננה,116,634,829,1703,2572,4980,4982,1765,446,< 15
שבלי - אום אל-גנם,< 15,81,92,102,161,114,66,18,< 15,
שגב-שלום,< 15,24,33,34,31,17,< 15,,,< 15
שדרות,20,236,410,444,698,1110,658,307,51,
שוהם,38,269,168,458,1404,1429,545,235,26,< 15
שייח' דנון,< 15,31,33,32,28,25,< 15,< 15,,
שילה,< 15,32,78,52,32,73,40,< 15,< 15,
שלומי,< 15,49,76,189,221,364,168,101,16,
שמשית,21,53,15,121,316,95,25,< 15,< 15,
שעב,< 15,59,58,72,102,89,47,< 15,< 15,
שערי תקווה,< 15,45,55,137,204,283,217,62,< 15,
שפרעם,35,477,565,539,817,1058,594,245,35,< 15
שתולים,< 15,15,< 15,32,83,114,39,17,< 15,
תל אביב - יפו,249,2730,7312,8586,10679,21651,20840,10849,3651,19
תל מונד,21,99,117,284,544,663,398,163,68,
תל שבע,< 15,35,53,52,57,80,36,< 15,,
תפרח,< 15,< 15,< 15,< 15,19,43,25,< 15,< 15,
תקוע,< 15,22,72,68,40,72,34,< 15,< 15,
"סה""כ",8993,57640,91586,135396,186451,338286,279325,126832,31402,501
